date	channel	campaign_id	impressions	clicks	cost_text
03/07/2025	google	brand	11946	258	USD 298.44
03/07/2025	display	nonbrand	9917	230	USD 256.16
03/07/2025	meta	prospecting	9409	43	USD 233.61
03/07/2025	meta	retargeting	5985	104	USD 151.32
03/07/2025	email	newsletter	2990	63	USD 65.42
03/07/2025	meta	promo	3194	60	USD 82.92
03/07/2025	email	awareness	3349	30	USD 76.55
03/07/2025	meta	retargeting	4511	59	USD 105.96
04/07/2025	google	brand	9802	150	USD 244.93
04/07/2025	email	nonbrand	4728	95	USD 115.25
04/07/2025	email	prospecting	8708	58	USD 216.67
04/07/2025	meta	retargeting	10628	82	USD 262.61
04/07/2025	meta	newsletter	2714	51	USD 62.86
04/07/2025	email	promo	1994	28	USD 56.1
04/07/2025	display	awareness	3263	41	USD 87.19
04/07/2025	meta	retargeting	2469	23	USD 67.85
05/07/2025	display	brand	5836	99	USD 148.9
05/07/2025	google	nonbrand	6865	143	USD 182.25
05/07/2025	meta	prospecting	7430	95	USD 179.97
05/07/2025	meta	retargeting	7385	77	USD 187.68
05/07/2025	google	newsletter	2166	40	USD 51.62
05/07/2025	display	promo	2552	47	USD 57.79
05/07/2025	display	awareness	3564	19	USD 83.08
05/07/2025	email	retargeting	3157	24	USD 82.35
06/07/2025	google	brand	8371	185	USD 214.16
06/07/2025	meta	nonbrand	10483	173	USD 262.42
06/07/2025	email	prospecting	5962	66	USD 146.59
06/07/2025	meta	retargeting	8920	78	USD 228.24
06/07/2025	meta	newsletter	2295	45	USD 57.48
06/07/2025	meta	promo	3029	69	USD 71.94
06/07/2025	display	awareness	3488	30	USD 78.72
06/07/2025	meta	retargeting	4663	52	USD 108.57
07/07/2025	meta	brand	14043	267	USD 361.42
07/07/2025	google	nonbrand	11590	243	USD 284.98
07/07/2025	meta	prospecting	11544	60	USD 288.85
07/07/2025	meta	retargeting	7696	50	USD 199.12
07/07/2025	google	newsletter	2279	50	USD 54.96
07/07/2025	email	promo	3105	58	USD 74.74
07/07/2025	display	awareness	4249	57	USD 104.86
07/07/2025	google	retargeting	4834	49	USD 133.31
08/07/2025	meta	brand	9968	183	USD 257.93
08/07/2025	google	nonbrand	11767	217	USD 298.05
08/07/2025	google	prospecting	8165	131	USD 215.99
08/07/2025	google	retargeting	9427	106	USD 233.87
08/07/2025	meta	newsletter	3112	58	USD 80.86
08/07/2025	email	promo	2922	68	USD 73.82
08/07/2025	meta	awareness	4330	36	USD 106.63
08/07/2025	google	retargeting	3106	34	USD 71.54
09/07/2025	email	brand	10892	248	USD 266.92
09/07/2025	display	nonbrand	14241	299	USD 349.44
09/07/2025	google	prospecting	6537	81	USD 164.07
09/07/2025	google	retargeting	9577	85	USD 241.71
09/07/2025	display	newsletter	3417	42	USD 90.73
09/07/2025	display	promo	2121	37	USD 47.83
09/07/2025	meta	awareness	3938	13	USD 100.23
09/07/2025	meta	retargeting	5121	35	USD 121.71
10/07/2025	google	brand	13152	229	USD 327.05
10/07/2025	google	nonbrand	13313	261	USD 331.52
