order_id	customer_id	order_ts	status	currency	total_amount_text	utm_json	updated_at
o_1001	c_0655	01/03/2025 07:47	PAID	USD	101.42	{"source": "paid_social", "medium": "paid_social", "campaign": "nonbrand"}	01/03/2025 19:30
o_1002	c_0026	2025-03-01T21:54:29Z	paid	USD	USD 264.85	{"source": "display", "medium": "display", "campaign": "retargeting"}	01/03/2025 13:27
o_1003	c_0282	2025/03/01 21:12:19-0500	PAID	USD	USD 41.87	{"source": "paid_social", "medium": "paid_social", "campaign": "prospecting"}	01/03/2025 20:22
o_1004	c_0229	2025/03/01 20:23:43-0500	PAID	USD	$31.16	{"source": "paid_social", "medium": "paid_social", "campaign": "retargeting"}	01/03/2025 16:54
o_1005	c_0755	2025/03/01 21:07:07-0500	PAID	eur	EUR 99.04	{"source": "paid_social", "medium": "paid_social", "campaign": "prospecting"}	01/03/2025 12:50
o_1006	c_0693	2025/03/01 20:20:20-0500	PAID	eur	€ 282.43	{"source": "paid_social", "medium": "paid_social", "campaign": "promo"}	01/03/2025 12:09
o_1007	c_0559	2025-03-01T15:55:30Z	PAID	USD	91.32	{"source": "display", "medium": "display", "campaign": "retargeting"}	01/03/2025 22:41
o_1008	c_0605	2025-03-01T13:30:11Z	PAID	CAD	11.2	{"source": "paid_social", "medium": "paid_social", "campaign": "retargeting"}	01/03/2025 13:18
o_1009	c_0033	2025-03-01T15:52:03Z	PAID	USD	USD 32.15	{"source": "paid_social", "medium": "paid_social", "campaign": "retargeting"}	01/03/2025 22:35
o_1010	c_0096	2025-03-01T11:29:29Z	paid	EUR	€ 381.75	{"source": "search", "medium": "cpc", "campaign": "brand"}	01/03/2025 10:51
o_1011	c_0617	2025-03-01T18:35:15Z	paid	USD	USD 14.94	{"source": "paid_social", "medium": "paid_social", "campaign": "nonbrand"}	01/03/2025 08:18
o_1012	c_0575	2025-03-02T10:10:09Z	Cancelled	usd	USD 54.83	{"source": "display", "medium": "display", "campaign": "retargeting"}	02/03/2025 12:07
o_1013	c_0734	2025/03/02 15:02:33-0500	PAID	USD	264.3	{"source": "display", "medium": "display", "campaign": "retargeting"}	02/03/2025 09:29
o_1014	c_0430	2025-03-02T10:22:23Z	PAID	USD	USD 217.38	{"source": "email", "medium": "email", "campaign": "brand"}	02/03/2025 20:31
o_1015	c_0285	2025-03-02T08:03:03Z	PAID	EUR	€ 14.48	{"source": "search", "medium": "cpc", "campaign": "newsletter"}	02/03/2025 17:01
o_1016	c_0778	2025/03/02 12:50:34-0500	paid	USD	$470.82	{"source": "paid_social", "medium": "paid_social", "campaign": "nonbrand"}	02/03/2025 11:44
o_1017	c_0285	02/03/2025 15:44	paid	EUR	EUR 34.25	{"source": "paid_social", "medium": "paid_social", "campaign": "prospecting"}	02/03/2025 13:21
o_1018	c_0221	2025-03-02T16:44:43Z	PAID	USD	275.24	{"source": "search", "medium": "cpc", "campaign": "newsletter"}	02/03/2025 16:30
o_1019	c_0095	2025/03/02 12:01:03-0500	PAID	USD	$348.17	{"source": "email", "medium": "email", "campaign": "brand"}	02/03/2025 18:26
o_1020	c_0353	2025-03-03T09:24:28Z	Cancelled	CAD	CAD 213.82	{"source": "display", "medium": "display", "campaign": "brand"}	03/03/2025 09:31
o_1021	c_0045	2025-03-03T08:27:31Z	PAID	USD	$302.33	{"source": "display", "medium": "display", "campaign": "brand"}	03/03/2025 13:55
o_1022	c_0471	2025/03/03 11:06:03-0500	PAID	usd	22.38	{"source": "search", "medium": "cpc", "campaign": "nonbrand"}	03/03/2025 08:25
o_1023	c_0128	03/03/2025 17:10	paid	USD	$262.73	{"source": "search", "medium": "cpc", "campaign": "retargeting"}	03/03/2025 15:27
o_1024	c_0566	03/03/2025 21:54	PAID	cad	CAD 268.52	{"source": "paid_social", "medium": "paid_social", "campaign": "prospecting"}	03/03/2025 11:05
o_1025	c_0634	03/03/2025 15:29	Fulfilled	USD	605.7	{"source": "paid_social", "medium": "paid_social", "campaign": "prospecting"}	03/03/2025 15:29
o_1026	c_0197	2025-03-03T11:14:35Z	Refunded	USD	$637.18	{"source": "paid_social", "medium": "paid_social", "campaign": "prospecting"}	03/03/2025 18:07
o_1027	c_0072	2025/03/03 13:54:04-0500	Cancelled	EUR	16,97	{"source": "search", "medium": "cpc", "campaign": "nonbrand"}	03/03/2025 13:34
o_1028	c_0678	03/03/2025 17:43	PAID	USD	56,57	{"source": "paid_social", "medium": "paid_social", "campaign": "retargeting"}	03/03/2025 18:47
o_1029	c_0792	2025-03-03T16:17:10Z	PAID	usd	181,49	{"source": "email", "medium": "email", "campaign": "awareness"}	03/03/2025 13:07
o_1030	c_0239	2025/03/04 13:16:27-0500	Fulfilled	USD	USD 202.69	{"source": "search", "medium": "cpc", "campaign": "nonbrand"}	04/03/2025 15:33
o_1031	c_0390	2025/03/04 18:54:26-0500	PAID	CAD	C$204.28	{"source": "search", "medium": "cpc", "campaign": "nonbrand"}	04/03/2025 17:52
o_1032	c_0167	2025-03-04T18:31:52Z	Fulfilled	CAD	C$254.32	{"source": "search", "medium": "cpc", "campaign": "nonbrand"}	04/03/2025 22:25
o_1033	c_0364	2025/03/04 11:07:56-0500	PAID	EUR	€ 341.24	{"source": "search", "medium": "cpc", "campaign": "nonbrand"}	04/03/2025 22:24
o_1034	c_0274	2025-03-04T14:12:41Z	PAID	USD	USD 625.13	{"source": "email", "medium": "email", "campaign": "retargeting"}	04/03/2025 22:18
o_1035	c_0624	04/03/2025 15:20	Fulfilled	USD	690.11	{"source": "display", "medium": "display", "campaign": "awareness"}	04/03/2025 12:55
o_1036	c_0176	04/03/2025 15:19	Fulfilled	USD	$40.17	{"source": "paid_social", "medium": "paid_social", "campaign": "brand"}	04/03/2025 22:27
o_1037	c_0747	04/03/2025 21:30	Fulfilled	EUR	EUR 47.42	{"source": "paid_social", "medium": "paid_social", "campaign": "retargeting"}	04/03/2025 11:37
o_1038	c_0168	2025-03-04T19:31:42Z	paid	USD	USD 28.46	{"source": "email", "medium": "email", "campaign": "retargeting"}	04/03/2025 10:06
o_1039	c_0389	05/03/2025 08:18	PAID	USD	$69.39	{"source": "search", "medium": "cpc", "campaign": "prospecting"}	05/03/2025 12:45
o_1040	c_0656	2025/03/05 17:19:51-0500	PAID	usd	$532.48	{"source": "search", "medium": "cpc", "campaign": "prospecting"}	05/03/2025 17:35
o_1041	c_0571	2025-03-05T07:17:30Z	paid	eur	96.79	{"source": "email", "medium": "email", "campaign": "retargeting"}	05/03/2025 18:51
o_1042	c_0702	05/03/2025 16:57	paid	USD	USD 224.94	{"source": "email", "medium": "email", "campaign": "retargeting"}	05/03/2025 21:44
o_1043	c_0033	2025-03-05T14:45:54Z	paid	USD	$119.75	{"source": "search", "medium": "cpc", "campaign": "nonbrand"}	05/03/2025 21:43
o_1044	c_0411	2025/03/05 14:37:02-0500	PAID	EUR	EUR 93.11	{"source": "paid_social", "medium": "paid_social", "campaign": "brand"}	05/03/2025 17:44
o_1045	c_0068	05/03/2025 10:10	PAID	usd	$54.44	{"source": "paid_social", "medium": "paid_social", "campaign": "brand"}	05/03/2025 11:01
o_1046	c_0581	2025-03-05T07:47:25Z	paid	USD	USD 442.14	{"source": "search", "medium": "cpc", "campaign": "prospecting"}	05/03/2025 08:32
o_1047	c_0218	2025/03/05 18:47:43-0500	PAID	USD	$232.21	{"source": "search", "medium": "cpc", "campaign": "nonbrand"}	05/03/2025 12:53
o_1048	c_0406	2025-03-05T08:49:22Z	PAID	USD	478,32	{"source": "email", "medium": "email", "campaign": "promo"}	05/03/2025 16:29
o_1049	c_0147	05/03/2025 17:30	paid	USD	124.3	{"source": "search", "medium": "cpc", "campaign": "nonbrand"}	05/03/2025 11:28
o_1050	c_0253	2025-03-05T17:55:52Z	PAID	USD	USD 290.22	{"source": "paid_social", "medium": "paid_social", "campaign": "brand"}	05/03/2025 15:25
o_1051	c_0575	05/03/2025 16:18	PAID	USD	USD 280.40	{"source": "email", "medium": "email", "campaign": "newsletter"}	05/03/2025 19:31
