date	currency	usd_rate
01/03/2025	USD	1
01/03/2025	EUR	1.085
01/03/2025	GBP	1.2686
01/03/2025	CAD	0.7465
02/03/2025	USD	1
02/03/2025	EUR	1.0952
02/03/2025	GBP	1.2677
02/03/2025	CAD	0.7377
03/03/2025	USD	1
03/03/2025	EUR	1.0958
03/03/2025	GBP	1.2777
03/03/2025	CAD	0.7353
04/03/2025	USD	1
04/03/2025	EUR	1.0854
04/03/2025	GBP	1.2654
04/03/2025	CAD	0.7353
05/03/2025	USD	1
05/03/2025	EUR	1.0824
05/03/2025	GBP	1.2509
05/03/2025	CAD	0.7228
06/03/2025	USD	1
06/03/2025	EUR	1.0744
06/03/2025	GBP	1.2599
06/03/2025	CAD	0.7431
07/03/2025	USD	1
07/03/2025	EUR	1.0709
07/03/2025	GBP	1.2559
07/03/2025	CAD	0.7547
08/03/2025	USD	1
08/03/2025	EUR	1.0777
08/03/2025	GBP	1.2707
08/03/2025	CAD	0.7258
09/03/2025	USD	1
09/03/2025	EUR	1.0746
09/03/2025	GBP	1.2711
09/03/2025	CAD	0.7285
10/03/2025	USD	1
10/03/2025	EUR	1.0838
10/03/2025	GBP	1.264
10/03/2025	CAD	0.7371
11/03/2025	USD	1
11/03/2025	EUR	1.074
11/03/2025	GBP	1.2885
11/03/2025	CAD	0.7399
12/03/2025	USD	1
12/03/2025	EUR	1.0694
12/03/2025	GBP	1.2782
12/03/2025	CAD	0.7278
13/03/2025	USD	1
13/03/2025	EUR	1.0821
13/03/2025	GBP	1.2504
13/03/2025	CAD	0.7267
14/03/2025	USD	1
14/03/2025	EUR	1.082
14/03/2025	GBP	1.2774
14/03/2025	CAD	0.7417
15/03/2025	USD	1
15/03/2025	EUR	1.0788
15/03/2025	GBP	1.267
15/03/2025	CAD	0.7252
16/03/2025	USD	1
16/03/2025	EUR	1.0728
16/03/2025	GBP	1.2654
16/03/2025	CAD	0.7506
17/03/2025	USD	1
17/03/2025	EUR	1.0834
17/03/2025	GBP	1.2524
17/03/2025	CAD	0.7432
18/03/2025	USD	1
18/03/2025	EUR	1.0761
18/03/2025	GBP	1.2632
18/03/2025	CAD	0.7461
19/03/2025	USD	1
19/03/2025	EUR	1.0903
19/03/2025	GBP	1.2793
19/03/2025	CAD	0.7316
20/03/2025	USD	1
20/03/2025	EUR	1.0769
20/03/2025	GBP	1.2733
20/03/2025	CAD	0.7498
21/03/2025	USD	1
21/03/2025	EUR	1.0752
21/03/2025	GBP	1.2681
21/03/2025	CAD	0.7289
22/03/2025	USD	1
22/03/2025	EUR	1.068
22/03/2025	GBP	1.2781
22/03/2025	CAD	0.7536
23/03/2025	USD	1
23/03/2025	EUR	1.0793
23/03/2025	GBP	1.28
23/03/2025	CAD	0.7436
24/03/2025	USD	1
24/03/2025	EUR	1.0735
24/03/2025	GBP	1.2736
24/03/2025	CAD	0.7554
25/03/2025	USD	1
25/03/2025	EUR	1.0796
25/03/2025	GBP	1.2856
25/03/2025	CAD	0.7138
26/03/2025	USD	1
26/03/2025	EUR	1.0882
26/03/2025	GBP	1.2709
26/03/2025	CAD	0.737
27/03/2025	USD	1
27/03/2025	EUR	1.0809
27/03/2025	GBP	1.2501
27/03/2025	CAD	0.7378
28/03/2025	USD	1
28/03/2025	EUR	1.0836
